CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
rt,1,80,80,82
rt,2,162,163,164
rt,3,245,245,247
rt,4,335,335,336
rt,5,418,418,420
rt,6,500,500,503
rt,7,582,582,586
rt,8,667,667,678
rt,9,721,722,739
rt,10,797,799,821
rt,11,855,855,881
rt,12,913,915,944
rt,13,1002,1004,1026
rt,14,1066,1059,1073
rt,15,1134,1130,1139
rt,16,1208,1204,1218
rt,17,1207,1197,1212
rt,18,1231,1230,1271
rt,19,1231,1230,1237
rt,20,1275,1277,1333
rt,21,1274,1274,1285
rt,22,1408,1398,1448
rt,23,1399,1391,1449
rt,24,1500,1497,1555
rt,25,1498,1497,1547
rt,26,1475,1475,1503
rt,27,1485,1483,1505
rt,28,1659,1636,1678
rt,29,1659,1591,1669
rt,30,1755,1750,1784
rt,31,1748,1743,1766
rt,32,1879,1874,1899
rt,33,1879,1878,1901
rt,34,1880,1878,1914
rt,35,1876,1791,1902
rt,36,1811,1804,1830
rt,37,1834,1835,1862
rt,38,1860,1859,1885
rt,39,1853,1853,1875
rt,40,1735,1665,1799
rt,41,1825,1727,1846
rt,42,1763,1667,1830
rt,43,1793,1738,1846
rt,44,1770,1680,1871
rt,45,1869,1856,1890
rt,46,1870,1870,1888
rt,47,1861,1754,1883
rt,48,1860,1856,1873
rt,49,1868,1753,1889
rt,50,1825,1729,1916
rt,51,1919,1918,1931
rt,52,1902,1799,1973
rt,53,1986,1908,2008
rt,54,1995,1995,2006
rt,55,1987,1895,2002
rt,56,2070,1969,2139
rt,57,2161,2104,2181
rt,58,2158,2040,2188
rt,59,2149,2099,2180
rt,60,2069,2020,2094
rt,61,2035,1960,2054
rt,62,1997,1906,2053
rt,63,2045,2044,2058
rt,64,2236,2194,2365
