CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
rt,1,76,76,76
rt,2,139,139,139
rt,3,203,203,204
rt,4,265,265,266
rt,5,326,326,327
rt,6,379,379,380
rt,7,396,396,397
rt,8,409,409,411
rt,9,452,452,454
rt,10,496,496,497
rt,11,538,538,541
rt,12,590,590,593
rt,13,586,586,590
rt,14,602,602,608
rt,15,642,642,650
rt,16,676,676,689
rt,17,706,707,723
rt,18,741,741,749
rt,19,752,752,758
rt,20,754,754,764
rt,21,741,741,752
rt,22,744,744,754
rt,23,762,747,782
rt,24,792,779,801
rt,25,770,764,793
rt,26,777,760,797
rt,27,784,760,791
rt,28,780,754,786
rt,29,778,752,783
rt,30,773,754,783
rt,31,764,750,772
rt,32,768,748,784
rt,33,768,746,776
rt,34,767,740,778
rt,35,756,737,763
rt,36,745,727,754
rt,37,737,723,747
rt,38,724,707,732
rt,39,712,703,719
rt,40,713,709,727
rt,41,705,705,713
rt,42,690,654,700
rt,43,687,676,696
rt,44,685,665,695
rt,45,676,653,685
rt,46,679,661,689
rt,47,680,667,689
rt,48,669,647,678
rt,49,672,661,679
rt,50,662,650,668
rt,51,662,650,673
rt,52,665,656,673
rt,53,659,654,669
rt,54,652,648,659
rt,55,647,637,655
rt,56,646,640,654
rt,57,651,644,659
rt,58,641,638,652
rt,59,636,632,645
rt,60,630,629,637
rt,61,633,631,643
rt,62,626,626,636
rt,63,620,619,628
rt,64,619,619,629
