CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
rt,1,87,87,87
rt,2,158,158,159
rt,3,232,232,234
rt,4,305,305,305
rt,5,387,387,390
rt,6,444,445,449
rt,7,471,471,473
rt,8,506,506,508
rt,9,543,543,545
rt,10,583,583,587
rt,11,636,636,639
rt,12,695,695,699
rt,13,721,721,730
rt,14,756,757,769
rt,15,790,789,799
rt,16,792,792,812
rt,17,845,844,863
rt,18,844,837,871
rt,19,873,863,891
rt,20,889,881,908
rt,21,931,920,947
rt,22,928,924,946
rt,23,960,953,980
rt,24,948,940,975
rt,25,970,963,1000
rt,26,907,907,935
rt,27,923,924,943
rt,28,924,907,940
rt,29,927,873,943
rt,30,919,904,940
rt,31,946,945,963
rt,32,922,909,934
rt,33,960,938,974
rt,34,948,944,963
rt,35,939,929,960
rt,36,924,912,942
rt,37,918,890,936
rt,38,909,901,925
rt,39,888,880,905
rt,40,875,863,887
rt,41,871,853,886
rt,42,873,853,888
rt,43,876,861,887
rt,44,865,838,881
rt,45,876,855,889
rt,46,883,872,894
rt,47,892,854,915
rt,48,883,863,907
rt,49,896,886,911
rt,50,885,872,902
rt,51,878,876,891
rt,52,868,842,885
rt,53,871,863,890
rt,54,864,840,886
rt,55,866,845,891
rt,56,856,846,872
rt,57,860,859,886
rt,58,842,836,862
rt,59,834,824,856
rt,60,838,829,862
rt,61,835,832,856
rt,62,822,821,840
rt,63,810,804,829
rt,64,808,807,828
