CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
rt,1,79,79,79
rt,2,146,146,147
rt,3,212,212,212
rt,4,271,271,272
rt,5,326,326,327
rt,6,397,397,399
rt,7,420,418,422
rt,8,444,444,446
rt,9,474,474,476
rt,10,514,514,516
rt,11,562,562,564
rt,12,620,620,624
rt,13,619,620,624
rt,14,640,640,647
rt,15,668,669,682
rt,16,708,705,722
rt,17,746,745,762
rt,18,775,775,789
rt,19,780,780,793
rt,20,778,778,786
rt,21,770,770,780
rt,22,773,764,782
rt,23,791,786,801
rt,24,795,790,807
rt,25,794,788,809
rt,26,799,786,804
rt,27,798,790,805
rt,28,791,782,799
rt,29,791,766,799
rt,30,787,786,793
rt,31,780,754,786
rt,32,778,778,784
rt,33,782,774,788
rt,34,770,757,777
rt,35,750,738,760
rt,36,734,722,743
rt,37,732,721,740
rt,38,725,716,730
rt,39,719,710,726
rt,40,712,683,718
rt,41,706,694,712
rt,42,694,664,701
rt,43,690,675,697
rt,44,684,672,692
rt,45,673,649,681
rt,46,667,651,675
rt,47,676,654,686
rt,48,668,662,677
rt,49,671,655,683
rt,50,662,656,670
rt,51,656,652,663
rt,52,656,642,664
rt,53,648,636,655
rt,54,641,634,647
rt,55,642,623,653
rt,56,632,624,642
rt,57,642,639,649
rt,58,637,634,644
rt,59,632,625,641
rt,60,630,626,638
rt,61,623,620,637
rt,62,618,615,627
rt,63,617,615,628
rt,64,616,615,625
