CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
rt,1,73,73,73
rt,2,150,150,151
rt,3,223,223,223
rt,4,295,295,301
rt,5,354,353,356
rt,6,420,420,422
rt,7,492,492,495
rt,8,556,556,560
rt,9,617,617,622
rt,10,683,683,688
rt,11,730,729,736
rt,12,784,784,791
rt,13,865,865,871
rt,14,909,910,918
rt,15,987,986,995
rt,16,1027,1025,1036
rt,17,1027,1024,1035
rt,18,1114,1114,1123
rt,19,1113,1112,1121
rt,20,1186,1186,1197
rt,21,1185,1157,1195
rt,22,1280,1278,1291
rt,23,1280,1279,1289
rt,24,1361,1326,1378
rt,25,1361,1361,1375
rt,26,1324,1323,1339
rt,27,1319,1319,1331
rt,28,1480,1440,1492
rt,29,1474,1473,1484
rt,30,1546,1505,1560
rt,31,1542,1543,1551
rt,32,1596,1596,1617
rt,33,1590,1591,1604
rt,34,1591,1591,1603
rt,35,1595,1554,1608
rt,36,1605,1553,1622
rt,37,1620,1620,1631
rt,38,1621,1621,1635
rt,39,1621,1621,1629
rt,40,1626,1617,1643
rt,41,1636,1635,1645
rt,42,1635,1635,1647
rt,43,1635,1634,1645
rt,44,1627,1618,1635
rt,45,1624,1541,1639
rt,46,1629,1534,1669
rt,47,1661,1660,1675
rt,48,1682,1618,1697
rt,49,1665,1571,1699
rt,50,1685,1579,1699
rt,51,1626,1470,1697
rt,52,1707,1664,1785
rt,53,1791,1637,1811
rt,54,1736,1615,1819
rt,55,1801,1753,1812
rt,56,1963,1854,1981
rt,57,1979,1941,2027
rt,58,2010,1816,2041
rt,59,2018,1874,2042
rt,60,1819,1693,1909
rt,61,1810,1705,1841
rt,62,1799,1775,1832
rt,63,1832,1740,1845
rt,64,2008,1988,2072
