CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
rt,1,85,85,85
rt,2,153,153,154
rt,3,224,224,226
rt,4,296,296,299
rt,5,364,364,367
rt,6,418,419,426
rt,7,441,441,445
rt,8,454,454,458
rt,9,498,498,501
rt,10,531,532,541
rt,11,566,566,570
rt,12,607,607,614
rt,13,625,626,629
rt,14,640,640,648
rt,15,646,646,653
rt,16,665,665,674
rt,17,697,698,715
rt,18,716,711,738
rt,19,732,733,745
rt,20,745,736,752
rt,21,755,755,763
rt,22,753,753,760
rt,23,782,775,794
rt,24,768,767,774
rt,25,778,778,787
rt,26,779,778,789
rt,27,781,781,791
rt,28,775,767,784
rt,29,761,744,772
rt,30,761,744,772
rt,31,751,729,765
rt,32,745,738,759
rt,33,747,733,755
rt,34,739,727,751
rt,35,735,728,745
rt,36,730,725,742
rt,37,727,714,737
rt,38,717,711,732
rt,39,711,698,720
rt,40,711,707,720
rt,41,705,692,715
rt,42,703,697,711
rt,43,700,688,709
rt,44,690,687,705
rt,45,685,681,694
rt,46,689,680,699
rt,47,694,681,703
rt,48,686,681,697
rt,49,691,676,699
rt,50,683,674,693
rt,51,691,682,697
rt,52,682,678,691
rt,53,675,674,682
rt,54,664,655,671
rt,55,656,650,663
rt,56,645,637,651
rt,57,638,634,650
rt,58,637,634,646
rt,59,636,635,647
rt,60,633,629,648
rt,61,630,628,640
rt,62,625,621,638
rt,63,622,620,636
rt,64,644,644,654
