CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
rt,1,81,81,81
rt,2,154,154,155
rt,3,227,227,228
rt,4,289,289,290
rt,5,355,355,357
rt,6,431,431,433
rt,7,463,463,464
rt,8,498,498,499
rt,9,526,525,528
rt,10,581,581,588
rt,11,631,631,635
rt,12,698,698,703
rt,13,731,730,737
rt,14,773,773,779
rt,15,823,822,827
rt,16,886,886,894
rt,17,923,922,928
rt,18,938,938,944
rt,19,953,938,970
rt,20,978,965,993
rt,21,986,965,1003
rt,22,1005,1006,1024
rt,23,1053,1053,1076
rt,24,1075,1068,1094
rt,25,1092,1070,1109
rt,26,954,952,985
rt,27,973,973,992
rt,28,970,957,990
rt,29,986,986,1006
rt,30,984,944,1007
rt,31,1012,979,1031
rt,32,988,935,1017
rt,33,1006,971,1025
rt,34,995,961,1011
rt,35,986,937,1007
rt,36,976,942,1000
rt,37,964,905,975
rt,38,989,945,1010
rt,39,974,932,994
rt,40,972,932,992
rt,41,956,885,974
rt,42,939,911,954
rt,43,942,914,957
rt,44,929,891,954
rt,45,944,917,959
rt,46,963,921,985
rt,47,986,963,1005
rt,48,972,929,995
rt,49,987,959,1006
rt,50,974,949,989
rt,51,970,935,985
rt,52,959,919,980
rt,53,943,933,962
rt,54,941,900,963
rt,55,932,893,954
rt,56,928,906,959
rt,57,931,916,957
rt,58,914,900,940
rt,59,907,892,939
rt,60,899,889,921
rt,61,893,886,916
rt,62,884,879,908
rt,63,875,868,894
rt,64,885,882,904
