CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
rt,1,77,77,77
rt,2,154,154,156
rt,3,226,226,227
rt,4,303,303,305
rt,5,374,373,376
rt,6,445,445,447
rt,7,513,512,517
rt,8,591,591,595
rt,9,654,653,659
rt,10,709,709,715
rt,11,760,760,765
rt,12,815,815,821
rt,13,900,899,908
rt,14,947,947,956
rt,15,1011,1009,1020
rt,16,1083,1081,1092
rt,17,1081,1080,1090
rt,18,1136,1138,1153
rt,19,1135,1118,1158
rt,20,1224,1224,1229
rt,21,1218,1188,1228
rt,22,1317,1317,1324
rt,23,1317,1254,1325
rt,24,1413,1414,1424
rt,25,1413,1412,1422
rt,26,1382,1349,1397
rt,27,1379,1310,1389
rt,28,1509,1508,1522
rt,29,1516,1516,1528
rt,30,1595,1595,1611
rt,31,1599,1567,1610
rt,32,1707,1706,1723
rt,33,1700,1653,1724
rt,34,1706,1656,1728
rt,35,1706,1706,1725
rt,36,1664,1665,1683
rt,37,1673,1610,1697
rt,38,1688,1609,1700
rt,39,1694,1693,1700
rt,40,1661,1595,1700
rt,41,1706,1705,1717
rt,42,1703,1545,1714
rt,43,1657,1593,1717
rt,44,1685,1574,1711
rt,45,1703,1709,1752
rt,46,1699,1511,1752
rt,47,1724,1642,1741
rt,48,1728,1726,1747
rt,49,1649,1489,1745
rt,50,1620,1542,1725
rt,51,1705,1632,1775
rt,52,1769,1720,1842
rt,53,1865,1865,1911
rt,54,1867,1807,1883
rt,55,1846,1757,1901
rt,56,2017,2022,2089
rt,57,2050,1955,2074
rt,58,2047,2046,2061
rt,59,2048,2002,2064
rt,60,1961,1951,1994
rt,61,1873,1768,1949
rt,62,1832,1684,1964
rt,63,1861,1853,1926
rt,64,783,780,796
