CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
rt,1,118,118,118
rt,2,211,211,212
rt,3,308,308,309
rt,4,408,408,410
rt,5,490,490,492
rt,6,580,580,582
rt,7,657,657,659
rt,8,767,767,768
rt,9,837,837,840
rt,10,918,918,921
rt,11,980,980,986
rt,12,1092,1093,1097
rt,13,1177,1177,1188
rt,14,1233,1233,1240
rt,15,1300,1300,1304
rt,16,1442,1442,1445
rt,17,1353,1353,1369
rt,18,1475,1472,1502
rt,19,1454,1451,1480
rt,20,1627,1612,1642
rt,21,1662,1653,1681
rt,22,1573,1565,1584
rt,23,1467,1463,1491
rt,24,1855,1831,1876
rt,25,1918,1890,1933
rt,26,1804,1799,1824
rt,27,1843,1828,1862
rt,28,2056,2036,2073
rt,29,1455,1447,1467
rt,30,2092,2078,2121
rt,31,1415,1398,1436
rt,32,2115,2107,2138
rt,33,1884,1875,1908
rt,34,1862,1848,1880
rt,35,2292,2262,2319
rt,36,2283,2256,2333
rt,37,1349,1305,1368
rt,38,1727,1695,1773
rt,39,2071,2030,2133
rt,40,2289,2242,2322
rt,41,1306,1276,1322
rt,42,2419,2375,2497
rt,43,1275,1253,1306
rt,44,1992,1937,2039
rt,45,2032,1993,2137
rt,46,1632,1598,1656
rt,47,1284,1265,1303
rt,48,2260,2244,2431
rt,49,2510,2422,2564
rt,50,2052,2005,2113
rt,51,1883,1861,1919
rt,52,2205,2174,2252
rt,53,1263,1251,1277
rt,54,2202,2158,2295
rt,55,2111,2067,2161
rt,56,2455,2428,2540
rt,57,1817,1798,1840
rt,58,1474,1462,1490
rt,59,1195,1195,1208
rt,60,2165,2104,2196
rt,61,1164,1164,1176
rt,62,1413,1412,1437
rt,63,2217,2200,2232
rt,64,2396,2394,2422
