CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
rt,1,112,112,112
rt,2,211,211,211
rt,3,311,311,312
rt,4,409,409,410
rt,5,501,501,503
rt,6,588,588,590
rt,7,673,673,676
rt,8,756,756,768
rt,9,857,858,863
rt,10,939,939,944
rt,11,959,960,970
rt,12,1094,1094,1098
rt,13,1145,1143,1155
rt,14,1237,1236,1246
rt,15,1303,1302,1310
rt,16,1400,1400,1407
rt,17,1383,1383,1387
rt,18,1492,1492,1499
rt,19,1471,1471,1479
rt,20,1650,1633,1675
rt,21,1675,1658,1701
rt,22,1615,1606,1650
rt,23,1529,1520,1543
rt,24,1890,1864,1907
rt,25,1949,1946,1963
rt,26,1885,1866,1908
rt,27,1943,1921,1965
rt,28,2086,2058,2107
rt,29,1559,1549,1574
rt,30,2144,2109,2162
rt,31,1520,1504,1539
rt,32,2224,2195,2245
rt,33,2009,1976,2038
rt,34,2005,1987,2021
rt,35,2310,2250,2345
rt,36,2299,2250,2366
rt,37,1448,1413,1472
rt,38,1828,1799,1908
rt,39,2147,2139,2243
rt,40,2386,2341,2428
rt,41,1401,1371,1419
rt,42,2453,2421,2545
rt,43,1380,1358,1404
rt,44,2145,2081,2226
rt,45,2247,2243,2456
rt,46,1692,1668,1718
rt,47,1331,1315,1352
rt,48,2360,2323,2520
rt,49,2323,2360,2583
rt,50,2223,2150,2280
rt,51,1954,1923,1992
rt,52,2197,2155,2238
rt,53,1243,1225,1276
rt,54,2328,2275,2440
rt,55,2118,2057,2170
rt,56,2473,2451,2617
rt,57,1827,1802,1855
rt,58,1520,1513,1539
rt,59,1233,1230,1246
rt,60,2204,2152,2244
rt,61,1222,1221,1241
rt,62,1500,1497,1523
rt,63,2370,2359,2397
rt,64,2536,2535,2555
