CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
rt,1,114,114,114
rt,2,210,210,210
rt,3,311,311,312
rt,4,407,407,408
rt,5,500,500,501
rt,6,590,589,591
rt,7,672,672,676
rt,8,772,772,774
rt,9,855,855,858
rt,10,933,933,936
rt,11,973,973,981
rt,12,1095,1095,1100
rt,13,1145,1145,1150
rt,14,1229,1229,1235
rt,15,1305,1306,1313
rt,16,1400,1398,1404
rt,17,1376,1376,1384
rt,18,1505,1505,1511
rt,19,1477,1477,1485
rt,20,1652,1651,1662
rt,21,1676,1677,1694
rt,22,1636,1635,1643
rt,23,1521,1519,1536
rt,24,1876,1855,1890
rt,25,1919,1897,1936
rt,26,1853,1840,1865
rt,27,1930,1908,1947
rt,28,2069,2054,2087
rt,29,1511,1500,1527
rt,30,2135,2119,2166
rt,31,1482,1474,1505
rt,32,2211,2193,2221
rt,33,1975,1965,2014
rt,34,1952,1938,1969
rt,35,2286,2236,2346
rt,36,2320,2277,2354
rt,37,1392,1373,1413
rt,38,1804,1770,1826
rt,39,2138,2087,2163
rt,40,2380,2351,2427
rt,41,1365,1325,1389
rt,42,2456,2415,2523
rt,43,1378,1348,1397
rt,44,2191,2111,2237
rt,45,2278,2202,2364
rt,46,1689,1655,1715
rt,47,1345,1336,1362
rt,48,2376,2339,2559
rt,49,2435,2427,2608
rt,50,2171,2125,2255
rt,51,1996,1932,2047
rt,52,2203,2164,2293
rt,53,1262,1250,1295
rt,54,2335,2306,2458
rt,55,2113,2069,2222
rt,56,2452,2412,2539
rt,57,1851,1826,1871
rt,58,1520,1507,1534
rt,59,1244,1238,1263
rt,60,2183,2146,2208
rt,61,1222,1221,1236
rt,62,1484,1482,1510
rt,63,2357,2331,2410
rt,64,2422,2423,2447
