CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
r9,1,106,105,106
r9,2,177,178,208
r9,3,273,284,312
r9,4,406,405,409
r9,5,496,495,497
r9,6,587,587,590
r9,7,666,666,668
r9,8,759,756,764
r9,9,830,831,840
r9,10,895,895,912
r9,11,999,999,1007
r9,12,1074,1071,1080
r9,13,1127,1126,1133
r9,14,1214,1217,1231
r9,15,1166,1167,1178
r9,16,1234,1234,1244
r9,17,866,873,969
r9,18,1003,997,1041
r9,19,977,986,1029
r9,20,1038,1036,1072
r9,21,1136,1136,1187
r9,22,1124,1126,1162
r9,23,1159,1159,1166
r9,24,1209,1209,1215
r9,25,1255,1255,1267
r9,26,1299,1299,1312
r9,27,1324,1327,1363
r9,28,1364,1364,1394
r9,29,1358,1356,1376
r9,30,1312,1315,1355
r9,31,1327,1323,1349
r9,32,1331,1333,1389
