CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
r9,1,158,158,159
r9,2,310,309,311
r9,3,460,460,461
r9,4,608,608,609
r9,5,749,749,750
r9,6,884,883,885
r9,7,1015,1015,1017
r9,8,1157,1156,1159
r9,9,1210,1220,1249
r9,10,1352,1352,1355
r9,11,1467,1467,1471
r9,12,1603,1602,1606
r9,13,1693,1693,1699
r9,14,1828,1827,1834
r9,15,1959,1960,1970
r9,16,2026,2026,2033
r9,17,1316,1316,1324
r9,18,1293,1293,1300
r9,19,1372,1379,1411
r9,20,1403,1402,1413
r9,21,1453,1454,1468
r9,22,1529,1529,1539
r9,23,1644,1644,1650
r9,24,1615,1614,1629
r9,25,1703,1703,1715
r9,26,1777,1775,1788
r9,27,1797,1797,1808
r9,28,1886,1885,1896
r9,29,1967,1964,1977
r9,30,1949,1948,1963
r9,31,2037,2037,2042
r9,32,2110,2110,2118
