CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
r9,1,120,120,120
r9,2,204,205,219
r9,3,342,341,343
r9,4,453,451,457
r9,5,560,559,563
r9,6,667,667,669
r9,7,753,756,769
r9,8,855,855,863
r9,9,853,853,858
r9,10,1050,1047,1058
r9,11,1049,1049,1056
r9,12,1237,1229,1246
r9,13,1235,1235,1244
r9,14,1421,1420,1431
r9,15,1424,1423,1431
r9,16,1588,1588,1603
r9,17,1582,1581,1593
r9,18,1580,1581,1590
r9,19,1580,1580,1587
r9,20,1086,1085,1122
r9,21,1087,1087,1131
r9,22,1087,1087,1117
r9,23,1086,1086,1120
r9,24,1257,1256,1292
r9,25,1258,1256,1291
r9,26,1252,1249,1291
r9,27,1258,1257,1289
r9,28,1401,1398,1436
r9,29,1399,1392,1434
r9,30,1391,1393,1433
r9,31,1394,1392,1435
r9,32,1507,1503,1522
