CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
r9,1,157,157,157
r9,2,307,305,311
r9,3,453,452,455
r9,4,600,597,606
r9,5,750,746,752
r9,6,874,872,878
r9,7,1018,1016,1020
r9,8,1167,1157,1169
r9,9,1235,1234,1239
r9,10,1334,1335,1351
r9,11,1425,1426,1435
r9,12,1593,1591,1599
r9,13,1679,1678,1689
r9,14,1827,1826,1833
r9,15,1931,1933,1956
r9,16,2036,2035,2041
r9,17,1257,1257,1262
r9,18,1276,1276,1284
r9,19,1348,1348,1352
r9,20,1405,1404,1413
r9,21,1475,1474,1479
r9,22,1540,1540,1550
r9,23,1614,1614,1620
r9,24,1675,1674,1678
r9,25,1683,1682,1704
r9,26,1750,1751,1772
r9,27,1816,1815,1829
r9,28,1904,1902,1917
r9,29,1947,1946,1963
r9,30,2027,2027,2040
r9,31,2005,2006,2019
r9,32,2092,2092,2112
