CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
r9,1,115,115,116
r9,2,206,206,224
r9,3,328,325,330
r9,4,435,430,438
r9,5,538,535,540
r9,6,637,633,641
r9,7,732,726,740
r9,8,836,811,843
r9,9,834,833,839
r9,10,1020,1019,1025
r9,11,1018,1017,1026
r9,12,1194,1192,1198
r9,13,1191,1188,1198
r9,14,1356,1359,1371
r9,15,1363,1363,1370
r9,16,1515,1514,1525
r9,17,1513,1513,1523
r9,18,1509,1510,1521
r9,19,1509,1509,1524
r9,20,1103,1097,1118
r9,21,1107,1099,1123
r9,22,1099,1096,1120
r9,23,1098,1096,1122
r9,24,1218,1206,1284
r9,25,1210,1202,1277
r9,26,1220,1209,1281
r9,27,1204,1199,1272
r9,28,1355,1353,1434
r9,29,1349,1351,1424
r9,30,1350,1344,1444
r9,31,1349,1348,1425
r9,32,1443,1431,1502
