CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
r9,1,105,105,106
r9,2,185,186,213
r9,3,306,301,309
r9,4,399,394,401
r9,5,486,482,490
r9,6,580,577,583
r9,7,660,658,663
r9,8,735,735,745
r9,9,801,803,814
r9,10,811,829,869
r9,11,930,929,933
r9,12,956,963,988
r9,13,1017,1016,1029
r9,14,1094,1093,1108
r9,15,1164,1156,1178
r9,16,1205,1205,1213
r9,17,872,870,898
r9,18,910,909,920
r9,19,932,934,962
r9,20,1008,1007,1015
r9,21,1010,1009,1017
r9,22,1065,1064,1079
r9,23,1062,1061,1072
r9,24,1127,1125,1138
r9,25,1138,1137,1147
r9,26,1199,1198,1214
r9,27,1182,1159,1212
r9,28,1159,1158,1195
r9,29,1135,1123,1224
r9,30,1122,1096,1186
r9,31,1087,1077,1168
r9,32,1225,1198,1310
