CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
i7,1,146,146,146
i7,2,275,276,281
i7,3,388,388,389
i7,4,481,481,482
i7,5,554,554,555
i7,6,629,629,630
i7,7,700,700,701
i7,8,741,740,742
i7,9,420,420,425
i7,10,389,389,394
i7,11,417,417,419
i7,12,421,421,422
i7,13,455,455,457
i7,14,491,491,492
i7,15,506,507,510
i7,16,538,538,542
i7,17,564,564,566
i7,18,587,586,588
i7,19,626,626,629
i7,20,628,628,630
