CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
i7,1,115,114,115
i7,2,217,217,220
i7,3,316,315,319
i7,4,359,356,365
i7,5,410,410,416
i7,6,468,468,477
i7,7,492,492,502
i7,8,497,496,505
i7,9,335,335,335
i7,10,342,340,343
i7,11,346,345,346
i7,12,328,328,330
i7,13,341,341,344
i7,14,351,351,353
i7,15,371,371,374
i7,16,388,388,390
i7,17,397,397,400
i7,18,420,420,423
i7,19,448,447,451
i7,20,471,469,476
